S. No.,State Name,Electric Vehicle Count
1,Andaman and Nicobar Island,182
2,Andhra Pradesh,51322
3,Arunachal Pradesh,24
4,Assam,94929
5,Bihar,128885
6,Chandigarh,5533
7,Chhattisgarh,40516
8,Delhi,203263
9,Goa,8710
10,Gujarat,99236
11,Haryana,56243
12,Himachal Pradesh,1877
13,Jammu and Kashmir,7080
14,Jharkhand,28395
15,Karnataka,183536
16,Kerala,65545
17,Ladakh,47
18,Madhya Pradesh,42957
19,Maharashtra,226134
20,Manipur,1052
21,Meghalaya,83
22,Mizoram,76
23,Nagaland,60
24,Odisha,45562
25,Puducherry,3376
26,Punjab,25597
27,Rajasthan,143273
28,Sikkim,21
29,Tamil Nadu,129153
30,Tripura,12229
31,Dadra and Nagar Haveli and Daman and Diu,303
32,Uttar Pradesh,465432
33,Uttarakhand,42308
34,West Bengal,57512
Grand Total,Grand Total,2170451
